Champion: Karma 2 
 Items: Blue Buff,Archangels 
 Buffs: Invoker 2
t 0.03, dmg 72.56, type physical 
t 0.03, dmg 331.25, type magical 
t 0.03, dmg 331.25, type magical 
t 1.47, dmg 72.56, type physical 
t 2.90, dmg 72.56, type physical 
t 2.90, dmg 370.62, type magical 
t 2.90, dmg 370.62, type magical 
t 4.33, dmg 72.56, type physical 
t 4.43, dmg 393.12, type magical 
t 4.43, dmg 393.12, type magical 
t 5.87, dmg 72.56, type physical 
t 5.97, dmg 404.38, type magical 
t 5.97, dmg 404.38, type magical 
t 5.97, dmg 404.38, type magical 
t 5.97, dmg 404.38, type magical 
t 5.97, dmg 404.38, type magical 
t 5.97, dmg 404.38, type magical 
t 7.40, dmg 72.56, type physical 
t 7.50, dmg 415.62, type magical 
t 7.50, dmg 415.62, type magical 
t 8.93, dmg 72.56, type physical 
t 9.03, dmg 426.88, type magical 
t 9.03, dmg 426.88, type magical 
t 10.47, dmg 72.56, type physical 
t 10.57, dmg 438.12, type magical 
t 10.57, dmg 438.12, type magical 
t 10.57, dmg 438.12, type magical 
t 10.57, dmg 438.12, type magical 
t 10.57, dmg 438.12, type magical 
t 10.57, dmg 438.12, type magical 
t 12.00, dmg 72.56, type physical 
t 12.10, dmg 449.38, type magical 
t 12.10, dmg 449.38, type magical 
t 13.53, dmg 72.56, type physical 
t 13.63, dmg 460.62, type magical 
t 13.63, dmg 460.62, type magical 
t 15.07, dmg 72.56, type physical 
t 15.17, dmg 471.88, type magical 
t 15.17, dmg 471.88, type magical 
t 15.17, dmg 471.88, type magical 
t 15.17, dmg 471.88, type magical 
t 15.17, dmg 471.88, type magical 
t 15.17, dmg 471.88, type magical 
t 16.60, dmg 72.56, type physical 
t 16.67, dmg 483.12, type magical 
t 16.67, dmg 483.12, type magical 
t 18.10, dmg 72.56, type physical 
t 18.17, dmg 494.38, type magical 
t 18.17, dmg 494.38, type magical 
t 19.60, dmg 72.56, type physical 
t 19.67, dmg 505.62, type magical 
t 19.67, dmg 505.62, type magical 
t 19.67, dmg 505.62, type magical 
t 19.67, dmg 505.62, type magical 
t 19.67, dmg 505.62, type magical 
t 19.67, dmg 505.62, type magical 
t 21.10, dmg 72.56, type physical 
t 21.17, dmg 516.88, type magical 
t 21.17, dmg 516.88, type magical 

Champion: Karma 2 
 Items: Spear of Shojin,Archangels 
 Buffs: Invoker 2
t 0.03, dmg 81.52, type physical 
t 0.03, dmg 331.25, type magical 
t 0.03, dmg 331.25, type magical 
t 1.47, dmg 81.52, type physical 
t 2.90, dmg 81.52, type physical 
